Energy,Counts/min,Error
meV,Counts/min,Error
H=204,T=75.0K B=0.0T,
3.0005,1083.5200,18.6206
3.2495,982.7200,17.7333
3.5039,912.6400,17.0893
3.7543,841.9200,16.4138
4.0002,781.7600,15.8165
4.1200,769.6000,15.6931
4.1200,774.0800,15.7387
4.2511,755.2000,15.5455
4.3837,733.1200,15.3166
4.3837,743.6800,15.4265
4.5074,736.0000,15.3467
4.6323,726.4000,15.2462
4.6323,734.7200,15.3333
4.7585,714.5600,15.1215
4.8753,704.9600,15.0196
4.8753,746.2400,15.4531
5.0039,760.9600,15.6047
5.1339,725.7600,15.2395
5.1339,737.6000,15.3633
5.2542,699.2000,14.9581
5.3757,732.4800,15.3099
5.3757,736.6400,15.3533
5.5095,753.9200,15.5324
5.6334,719.3600,15.1722
5.6334,747.8400,15.4696
5.7584,753.6000,15.5291
5.8847,741.1200,15.3999
5.8847,733.1200,15.3166
6.0005,734.0800,15.3266
6.1291,710.0800,15.0740
6.1291,700.1600,14.9683
6.2589,682.2400,14.7755
6.3780,704.6400,15.0162
6.3780,688.6400,14.8447
6.5102,708.1600,15.0536
6.6316,663.0400,14.5662
6.6316,653.4400,14.4603
6.7540,656.3200,14.4921
6.8775,624.0000,14.1308
6.8775,621.4400,14.1018
7.0021,624.3200,14.1344
7.2547,620.1600,14.0873
7.4988,621.7600,14.1054
7.7604,591.3600,13.7563
7.9999,574.4000,13.5576
